source,section,SMAPE,env,algorithm
noise,2,17.59341014639612,InvertedDoublePendulum-v4,SAC
noise,3,19.03664464824115,InvertedDoublePendulum-v4,SAC
noise,all,18.190587645759766,InvertedDoublePendulum-v4,SAC
policy,1,16.447929611733784,InvertedDoublePendulum-v4,SAC
policy,2,16.124582661734756,InvertedDoublePendulum-v4,SAC
policy,3,16.725021895310608,InvertedDoublePendulum-v4,SAC
policy,all,16.431605300847295,InvertedDoublePendulum-v4,SAC
env,1,25.425279345263853,InvertedPendulum-v4,PPO
env,2,32.75894717119821,InvertedPendulum-v4,PPO
env,3,29.76566994409252,InvertedPendulum-v4,PPO
env,all,26.02524955600383,InvertedPendulum-v4,PPO
buffer,1,21.64714294901037,InvertedPendulum-v4,PPO
buffer,2,30.689757596410438,InvertedPendulum-v4,PPO
buffer,3,32.21522323971103,InvertedPendulum-v4,PPO
buffer,all,22.58389831002199,InvertedPendulum-v4,PPO
noise,1,32.432892868529215,InvertedPendulum-v4,PPO
noise,2,35.443848093875864,InvertedPendulum-v4,PPO
noise,3,32.011870266584296,InvertedPendulum-v4,PPO
noise,all,32.54290376037912,InvertedPendulum-v4,PPO
policy,all,23.77423304301424,InvertedPendulum-v4,PPO
env,1,18.545420380606263,InvertedPendulum-v4,SAC
env,2,22.705431214043397,InvertedPendulum-v4,SAC
env,3,28.30213995985529,InvertedPendulum-v4,SAC
env,all,21.88667967880436,InvertedPendulum-v4,SAC
buffer,1,17.64170364391099,InvertedPendulum-v4,SAC
buffer,2,22.404511868025335,InvertedPendulum-v4,SAC
buffer,3,30.092161374302744,InvertedPendulum-v4,SAC
buffer,all,22.28201631485061,InvertedPendulum-v4,SAC
noise,1,26.867426083986395,InvertedPendulum-v4,SAC
noise,2,30.935411259084145,InvertedPendulum-v4,SAC
noise,3,25.53952821660777,InvertedPendulum-v4,SAC
noise,all,27.646653675869064,InvertedPendulum-v4,SAC
policy,1,19.66189414378783,InvertedPendulum-v4,SAC
policy,2,24.667866327743777,InvertedPendulum-v4,SAC
policy,3,29.39415633605213,InvertedPendulum-v4,SAC
policy,all,23.370183243703224,InvertedPendulum-v4,SAC
env,1,43.159503176943325,LunarLanderContinuous-v2,PPO
env,2,68.04361471216174,LunarLanderContinuous-v2,PPO
env,3,83.17904736686195,LunarLanderContinuous-v2,PPO
env,all,53.55846590062928,LunarLanderContinuous-v2,PPO
buffer,1,38.95471101253417,LunarLanderContinuous-v2,PPO
buffer,2,65.47559159584168,LunarLanderContinuous-v2,PPO
buffer,3,70.28674110108972,LunarLanderContinuous-v2,PPO
buffer,all,47.31541552437561,LunarLanderContinuous-v2,PPO
noise,1,46.2633036037227,LunarLanderContinuous-v2,PPO
noise,2,68.46275839917391,LunarLanderContinuous-v2,PPO
noise,3,79.11167178126489,LunarLanderContinuous-v2,PPO
noise,all,54.864398567025695,LunarLanderContinuous-v2,PPO
policy,all,48.87857474359037,LunarLanderContinuous-v2,PPO
env,1,58.45967914450485,LunarLanderContinuous-v2,SAC
