anti,algorithm,section,learning_timesteps,environment,env_seed,policy_seed,noise_seed,buffer_seed,parameter,seed_value,model_name,avg_reward
True,SAC,2,13333,BipedalWalkerHardcore-v3,111,222,333,444,env,13,SAC_2_13333_BipedalWalkerHardcore-v3_111_222_333_444_env=13,-120.34988329411766
True,SAC,3,13333,BipedalWalkerHardcore-v3,111,222,333,444,env,7,SAC_3_13333_BipedalWalkerHardcore-v3_111_222_333_444_env=7,-118.127314
False,SAC,1,13333,BipedalWalkerHardcore-v3,111,222,333,444,env,12,SAC_1_13333_BipedalWalkerHardcore-v3_111_222_333_444_env=12,-109.10418254945056
False,SAC,2,13333,BipedalWalkerHardcore-v3,111,222,333,444,env,6,SAC_2_13333_BipedalWalkerHardcore-v3_111_222_333_444_env=6,-108.95175624793389
False,SAC,3,13333,BipedalWalkerHardcore-v3,111,222,333,444,env,2,SAC_3_13333_BipedalWalkerHardcore-v3_111_222_333_444_env=2,-106.86034715343916
True,SAC,1,13333,BipedalWalkerHardcore-v3,111,222,333,444,buffer,7,SAC_1_13333_BipedalWalkerHardcore-v3_111_222_333_444_buffer=7,-117.67539453225808
True,SAC,2,13333,BipedalWalkerHardcore-v3,111,222,333,444,buffer,5,SAC_2_13333_BipedalWalkerHardcore-v3_111_222_333_444_buffer=5,-119.2432916
True,SAC,3,13333,BipedalWalkerHardcore-v3,111,222,333,444,buffer,1,SAC_3_13333_BipedalWalkerHardcore-v3_111_222_333_444_buffer=1,-119.98751875423726
False,SAC,1,13333,BipedalWalkerHardcore-v3,111,222,333,444,buffer,1,SAC_1_13333_BipedalWalkerHardcore-v3_111_222_333_444_buffer=1,-110.44596910344828
False,SAC,2,13333,BipedalWalkerHardcore-v3,111,222,333,444,buffer,6,SAC_2_13333_BipedalWalkerHardcore-v3_111_222_333_444_buffer=6,-111.043644
False,SAC,3,13333,BipedalWalkerHardcore-v3,111,222,333,444,buffer,7,SAC_3_13333_BipedalWalkerHardcore-v3_111_222_333_444_buffer=7,-109.42765629015544
True,SAC,1,13333,BipedalWalkerHardcore-v3,111,222,333,444,noise,4,SAC_1_13333_BipedalWalkerHardcore-v3_111_222_333_444_noise=4,-118.9970958695652
True,SAC,2,13333,BipedalWalkerHardcore-v3,111,222,333,444,noise,3,SAC_2_13333_BipedalWalkerHardcore-v3_111_222_333_444_noise=3,-118.36055561627906
True,SAC,3,13333,BipedalWalkerHardcore-v3,111,222,333,444,noise,15,SAC_3_13333_BipedalWalkerHardcore-v3_111_222_333_444_noise=15,-117.73510332110092
False,SAC,1,13333,BipedalWalkerHardcore-v3,111,222,333,444,noise,1,SAC_1_13333_BipedalWalkerHardcore-v3_111_222_333_444_noise=1,-108.83701518666666
False,SAC,2,13333,BipedalWalkerHardcore-v3,111,222,333,444,noise,10,SAC_2_13333_BipedalWalkerHardcore-v3_111_222_333_444_noise=10,-106.00871151492537
False,SAC,3,13333,BipedalWalkerHardcore-v3,111,222,333,444,noise,15,SAC_3_13333_BipedalWalkerHardcore-v3_111_222_333_444_noise=15,-105.2246309385475
True,SAC,1,13333,BipedalWalkerHardcore-v3,111,222,333,444,policy,8,SAC_1_13333_BipedalWalkerHardcore-v3_111_222_333_444_policy=8,-117.6516953695652
True,SAC,2,13333,BipedalWalkerHardcore-v3,111,222,333,444,policy,4,SAC_2_13333_BipedalWalkerHardcore-v3_111_222_333_444_policy=4,-118.29533265476192
True,SAC,3,13333,BipedalWalkerHardcore-v3,111,222,333,444,policy,1,SAC_3_13333_BipedalWalkerHardcore-v3_111_222_333_444_policy=1,-119.1206834166667
False,SAC,1,13333,BipedalWalkerHardcore-v3,111,222,333,444,policy,1,SAC_1_13333_BipedalWalkerHardcore-v3_111_222_333_444_policy=1,-109.33389941052631
False,SAC,2,13333,BipedalWalkerHardcore-v3,111,222,333,444,policy,2,SAC_2_13333_BipedalWalkerHardcore-v3_111_222_333_444_policy=2,-107.8439245909091
False,SAC,3,13333,BipedalWalkerHardcore-v3,111,222,333,444,policy,4,SAC_3_13333_BipedalWalkerHardcore-v3_111_222_333_444_policy=4,-106.1337286635071

True,SAC,1,41667,LunarLanderContinuous-v2,111,222,333,444,env,7,SAC_1_41667_LunarLanderContinuous-v2_111_222_333_444_env=7,-155.81438374683543
True,SAC,2,41667,LunarLanderContinuous-v2,111,222,333,444,env,14,SAC_2_41667_LunarLanderContinuous-v2_111_222_333_444_env=14,-200.57882433333336
True,SAC,3,41667,LunarLanderContinuous-v2,111,222,333,444,env,10,SAC_3_41667_LunarLanderContinuous-v2_111_222_333_444_env=10,-222.9238326102564
False,SAC,1,41667,LunarLanderContinuous-v2,111,222,333,444,env,11,SAC_1_41667_LunarLanderContinuous-v2_111_222_333_444_env=11,-43.552535214285705
False,SAC,2,41667,LunarLanderContinuous-v2,111,222,333,444,env,8,SAC_2_41667_LunarLanderContinuous-v2_111_222_333_444_env=8,-44.58962723529412
False,SAC,3,41667,LunarLanderContinuous-v2,111,222,333,444,env,12,SAC_3_41667_LunarLanderContinuous-v2_111_222_333_444_env=12,-29.98338335820896
True,SAC,1,41667,LunarLanderContinuous-v2,111,222,333,444,buffer,2,SAC_1_41667_LunarLanderContinuous-v2_111_222_333_444_buffer=2,-134.37294586666667
True,SAC,2,41667,LunarLanderContinuous-v2,111,222,333,444,buffer,1,SAC_2_41667_LunarLanderContinuous-v2_111_222_333_444_buffer=1,-199.9049303503649
True,SAC,3,41667,LunarLanderContinuous-v2,111,222,333,444,buffer,7,SAC_3_41667_LunarLanderContinuous-v2_111_222_333_444_buffer=7,-255.5834166519608
False,SAC,1,41667,LunarLanderContinuous-v2,111,222,333,444,buffer,9,SAC_1_41667_LunarLanderContinuous-v2_111_222_333_444_buffer=9,11.216588240963857
False,SAC,2,41667,LunarLanderContinuous-v2,111,222,333,444,buffer,6,SAC_2_41667_LunarLanderContinuous-v2_111_222_333_444_buffer=6,-10.279695215568855
False,SAC,3,41667,LunarLanderContinuous-v2,111,222,333,444,buffer,8,SAC_3_41667_LunarLanderContinuous-v2_111_222_333_444_buffer=8,-24.0388824477612
True,SAC,1,41667,LunarLanderContinuous-v2,111,222,333,444,noise,12,SAC_1_41667_LunarLanderContinuous-v2_111_222_333_444_noise=12,-161.01172219512196
True,SAC,2,41667,LunarLanderContinuous-v2,111,222,333,444,noise,11,SAC_2_41667_LunarLanderContinuous-v2_111_222_333_444_noise=11,-237.1460522302158
True,SAC,3,41667,LunarLanderContinuous-v2,111,222,333,444,noise,7,SAC_3_41667_LunarLanderContinuous-v2_111_222_333_444_noise=7,-255.3931205707317
False,SAC,1,41667,LunarLanderContinuous-v2,111,222,333,444,noise,5,SAC_1_41667_LunarLanderContinuous-v2_111_222_333_444_noise=5,4.346620298850575
False,SAC,2,41667,LunarLanderContinuous-v2,111,222,333,444,noise,14,SAC_2_41667_LunarLanderContinuous-v2_111_222_333_444_noise=14,20.86445872282609
False,SAC,3,41667,LunarLanderContinuous-v2,111,222,333,444,noise,1,SAC_3_41667_LunarLanderContinuous-v2_111_222_333_444_noise=1,43.193437505016725
True,SAC,1,41667,LunarLanderContinuous-v2,111,222,333,444,policy,7,SAC_1_41667_LunarLanderContinuous-v2_111_222_333_444_policy=7,-140.27913446666668
True,SAC,2,41667,LunarLanderContinuous-v2,111,222,333,444,policy,4,SAC_2_41667_LunarLanderContinuous-v2_111_222_333_444_policy=4,-172.25283281875002
True,SAC,3,41667,LunarLanderContinuous-v2,111,222,333,444,policy,7,SAC_3_41667_LunarLanderContinuous-v2_111_222_333_444_policy=7,-204.25912000869565
False,SAC,1,41667,LunarLanderContinuous-v2,111,222,333,444,policy,6,SAC_1_41667_LunarLanderContinuous-v2_111_222_333_444_policy=6,-48.100640978260856
False,SAC,2,41667,LunarLanderContinuous-v2,111,222,333,444,policy,2,SAC_2_41667_LunarLanderContinuous-v2_111_222_333_444_policy=2,-25.277399687500004
False,SAC,3,41667,LunarLanderContinuous-v2,111,222,333,444,policy,5,SAC_3_41667_LunarLanderContinuous-v2_111_222_333_444_policy=5,-50.725982204545446

True,SAC,1,10000,Ant-v4,111,222,333,444,env,13,SAC_1_10000_Ant-v4_111_222_333_444_env=13,-264.5737495454545
True,SAC,2,10000,Ant-v4,111,222,333,444,env,5,SAC_2_10000_Ant-v4_111_222_333_444_env=5,-86.24919766666666
True,SAC,3,10000,Ant-v4,111,222,333,444,env,14,SAC_3_10000_Ant-v4_111_222_333_444_env=14,92.7935634883721
False,SAC,1,10000,Ant-v4,111,222,333,444,env,10,SAC_1_10000_Ant-v4_111_222_333_444_env=10,-122.36069429268292
False,SAC,2,10000,Ant-v4,111,222,333,444,env,15,SAC_2_10000_Ant-v4_111_222_333_444_env=15,-4.012169534482751
False,SAC,3,10000,Ant-v4,111,222,333,444,env,9,SAC_3_10000_Ant-v4_111_222_333_444_env=9,106.43357924285716
